Data as of,Start Date,End Date,State,County Name,Urban Rural Code,FIPS State,FIPS County,FIPS Code,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other,Urban Rural Description,Footnote
09/27/2023,01/01/2020,09/23/2023,AL,Autauga County,3,1,1,1001,Distribution of COVID-19 deaths (%),1906,197,0.761,0.218,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Autauga County,3,1,1,1001,Distribution of population (%),1906,197,0.732,0.203,0.004,0.011,0.001,0.031,0.018,Medium metro,
09/27/2023,01/01/2020,09/23/2023,AL,Baldwin County,4,1,3,1003,Distribution of all-cause deaths (%),9048,653,0.91,0.074,0.002,0.003,,0.01,0.001,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Baldwin County,4,1,3,1003,Distribution of COVID-19 deaths (%),9048,653,0.884,0.086,,,,0.023,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Baldwin County,4,1,3,1003,Distribution of population (%),9048,653,0.833,0.085,0.007,0.011,0,0.046,0.018,Small metro,
09/27/2023,01/01/2020,09/23/2023,AL,Blount County,2,1,9,1009,Distribution of all-cause deaths (%),1951,103,0.978,0.01,,,,0.01,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Blount County,2,1,9,1009,Distribution of COVID-19 deaths (%),1951,103,0.932,,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Blount County,2,1,9,1009,Distribution of population (%),1951,103,0.868,0.015,0.005,0.004,0,0.095,0.013,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,AL,Calhoun County,4,1,15,1015,Distribution of all-cause deaths (%),6275,670,0.821,0.164,,0.003,,0.009,0.002,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Calhoun County,4,1,15,1015,Distribution of COVID-19 deaths (%),6275,670,0.809,0.17,,,,0.016,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Calhoun County,4,1,15,1015,Distribution of population (%),6275,670,0.714,0.212,0.004,0.008,0.001,0.041,0.02,Small metro,
09/27/2023,01/01/2020,09/23/2023,AL,Coffee County,5,1,31,1031,Distribution of all-cause deaths (%),1940,201,0.794,0.169,,0.01,,0.021,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Coffee County,5,1,31,1031,Distribution of COVID-19 deaths (%),1940,201,0.796,0.154,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Coffee County,5,1,31,1031,Distribution of population (%),1940,201,0.691,0.17,0.011,0.016,0.002,0.083,0.028,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,AL,Colbert County,4,1,33,1033,Distribution of all-cause deaths (%),2808,348,0.841,0.146,,,,0.01,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Colbert County,4,1,33,1033,Distribution of COVID-19 deaths (%),2808,348,0.836,0.126,,,,0.034,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Colbert County,4,1,33,1033,Distribution of population (%),2808,348,0.776,0.16,0.006,0.007,0.001,0.032,0.019,Small metro,
09/27/2023,01/01/2020,09/23/2023,AL,Covington County,6,1,39,1039,Distribution of all-cause deaths (%),2178,263,0.879,0.114,,,,0.005,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Covington County,6,1,39,1039,Distribution of COVID-19 deaths (%),2178,263,0.867,0.129,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Covington County,6,1,39,1039,Distribution of population (%),2178,263,0.829,0.125,0.006,0.005,0,0.019,0.016,Noncore,
09/27/2023,01/01/2020,09/23/2023,AL,Cullman County,5,1,43,1043,Distribution of all-cause deaths (%),4311,422,0.979,0.009,,,,0.009,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Cullman County,5,1,43,1043,Distribution of COVID-19 deaths (%),4311,422,0.962,,,,,0.031,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Cullman County,5,1,43,1043,Distribution of population (%),4311,422,0.917,0.013,0.006,0.006,0.001,0.045,0.013,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,AL,Dale County,5,1,45,1045,Distribution of all-cause deaths (%),1716,145,0.804,0.172,,,,0.016,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Dale County,5,1,45,1045,Distribution of COVID-19 deaths (%),1716,145,0.779,0.186,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Dale County,5,1,45,1045,Distribution of population (%),1716,145,0.68,0.204,0.007,0.014,0.001,0.069,0.024,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,AL,Dallas County,5,1,47,1047,Distribution of all-cause deaths (%),1868,211,0.347,0.646,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Dallas County,5,1,47,1047,Distribution of COVID-19 deaths (%),1868,211,0.318,0.678,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Dallas County,5,1,47,1047,Distribution of population (%),1868,211,0.267,0.704,0.002,0.005,0,0.012,0.009,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,AL,DeKalb County,6,1,49,1049,Distribution of all-cause deaths (%),2851,211,0.96,0.019,,,,0.019,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,DeKalb County,6,1,49,1049,Distribution of COVID-19 deaths (%),2851,211,0.948,,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,DeKalb County,6,1,49,1049,Distribution of population (%),2851,211,0.796,0.014,0.012,0.004,0.001,0.153,0.021,Noncore,
09/27/2023,01/01/2020,09/23/2023,AL,Escambia County,6,1,53,1053,Distribution of all-cause deaths (%),1635,169,0.689,0.267,0.034,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Escambia County,6,1,53,1053,Distribution of COVID-19 deaths (%),1635,169,0.609,0.337,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Escambia County,6,1,53,1053,Distribution of population (%),1635,169,0.601,0.312,0.037,0.003,0.001,0.026,0.021,Noncore,
09/27/2023,01/01/2020,09/23/2023,AL,Etowah County,4,1,55,1055,Distribution of all-cause deaths (%),6440,767,0.86,0.128,,0.002,,0.008,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Etowah County,4,1,55,1055,Distribution of COVID-19 deaths (%),6440,767,0.866,0.124,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Etowah County,4,1,55,1055,Distribution of population (%),6440,767,0.771,0.156,0.004,0.008,0,0.043,0.016,Small metro,
09/27/2023,01/01/2020,09/23/2023,AL,Geneva County,4,1,61,1061,Distribution of all-cause deaths (%),1258,105,0.901,0.081,,,,0.011,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Geneva County,4,1,61,1061,Distribution of COVID-19 deaths (%),1258,105,0.876,0.124,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Geneva County,4,1,61,1061,Distribution of population (%),1258,105,0.832,0.091,0.009,0.003,0,0.043,0.021,Small metro,
09/27/2023,01/01/2020,09/23/2023,AL,Houston County,4,1,69,1069,Distribution of all-cause deaths (%),8007,1079,0.736,0.244,0.001,0.004,,0.01,0.005,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Houston County,4,1,69,1069,Distribution of COVID-19 deaths (%),8007,1079,0.711,0.27,,,,0.012,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Houston County,4,1,69,1069,Distribution of population (%),8007,1079,0.656,0.274,0.004,0.011,0.001,0.035,0.02,Small metro,
09/27/2023,01/01/2020,09/23/2023,AL,Jackson County,5,1,71,1071,Distribution of all-cause deaths (%),2467,165,0.963,0.028,,,,0.007,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Jackson County,5,1,71,1071,Distribution of COVID-19 deaths (%),2467,165,0.982,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Jackson County,5,1,71,1071,Distribution of population (%),2467,165,0.891,0.033,0.014,0.005,0.001,0.031,0.027,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,AL,Jefferson County,1,1,73,1073,Distribution of all-cause deaths (%),42010,4003,0.625,0.355,0.001,0.004,0,0.011,0.003,Large central metro,
09/27/2023,01/01/2020,09/23/2023,AL,Jefferson County,1,1,73,1073,Distribution of COVID-19 deaths (%),42010,4003,0.637,0.333,,0.005,,0.021,0.003,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Jefferson County,1,1,73,1073,Distribution of population (%),42010,4003,0.492,0.434,0.002,0.018,0,0.041,0.013,Large central metro,
09/27/2023,01/01/2020,09/23/2023,AL,Lauderdale County,4,1,77,1077,Distribution of all-cause deaths (%),5719,521,0.9,0.091,,,,0.006,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Lauderdale County,4,1,77,1077,Distribution of COVID-19 deaths (%),5719,521,0.86,0.121,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Lauderdale County,4,1,77,1077,Distribution of population (%),5719,521,0.843,0.098,0.004,0.008,0,0.03,0.016,Small metro,
09/27/2023,01/01/2020,09/23/2023,AL,Lee County,4,1,81,1081,Distribution of all-cause deaths (%),5135,589,0.695,0.289,,0.007,,0.007,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Lee County,4,1,81,1081,Distribution of COVID-19 deaths (%),5135,589,0.61,0.367,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Lee County,4,1,81,1081,Distribution of population (%),5135,589,0.676,0.226,0.003,0.041,0.001,0.038,0.016,Small metro,
09/27/2023,01/01/2020,09/23/2023,AL,Limestone County,3,1,83,1083,Distribution of all-cause deaths (%),3300,260,0.88,0.099,,0.003,,0.014,0.003,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Limestone County,3,1,83,1083,Distribution of COVID-19 deaths (%),3300,260,0.892,0.085,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Limestone County,3,1,83,1083,Distribution of population (%),3300,260,0.757,0.136,0.006,0.017,0.001,0.062,0.021,Medium metro,
09/27/2023,01/01/2020,09/23/2023,AL,Madison County,3,1,89,1089,Distribution of all-cause deaths (%),17531,1545,0.791,0.181,0.001,0.009,,0.015,0.003,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Madison County,3,1,89,1089,Distribution of COVID-19 deaths (%),17531,1545,0.773,0.186,,0.01,,0.027,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Madison County,3,1,89,1089,Distribution of population (%),17531,1545,0.644,0.244,0.007,0.026,0.001,0.052,0.026,Medium metro,
09/27/2023,01/01/2020,09/23/2023,AL,Marengo County,6,1,91,1091,Distribution of all-cause deaths (%),1016,126,0.455,0.532,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Marengo County,6,1,91,1091,Distribution of COVID-19 deaths (%),1016,126,0.365,0.611,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Marengo County,6,1,91,1091,Distribution of population (%),1016,126,0.443,0.514,0.002,0.003,0,0.028,0.01,Noncore,
09/27/2023,01/01/2020,09/23/2023,AL,Marion County,6,1,93,1093,Distribution of all-cause deaths (%),1425,129,0.953,0.041,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Marion County,6,1,93,1093,Distribution of COVID-19 deaths (%),1425,129,0.93,,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Marion County,6,1,93,1093,Distribution of population (%),1425,129,0.917,0.038,0.004,0.003,0,0.026,0.012,Noncore,
09/27/2023,01/01/2020,09/23/2023,AL,Marshall County,5,1,95,1095,Distribution of all-cause deaths (%),4915,400,0.955,0.015,,,,0.025,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Marshall County,5,1,95,1095,Distribution of COVID-19 deaths (%),4915,400,0.902,,,,,0.085,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Marshall County,5,1,95,1095,Distribution of population (%),4915,400,0.796,0.026,0.006,0.007,0.001,0.15,0.015,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,AL,Mobile County,3,1,97,1097,Distribution of all-cause deaths (%),21724,2052,0.646,0.329,0.007,0.007,,0.008,0.003,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Mobile County,3,1,97,1097,Distribution of COVID-19 deaths (%),21724,2052,0.59,0.378,0.008,0.011,,0.011,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Mobile County,3,1,97,1097,Distribution of population (%),21724,2052,0.563,0.362,0.009,0.021,0,0.03,0.016,Medium metro,
09/27/2023,01/01/2020,09/23/2023,AL,Montgomery County,3,1,101,1101,Distribution of all-cause deaths (%),12330,1570,0.475,0.505,,0.006,,0.01,0.003,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Montgomery County,3,1,101,1101,Distribution of COVID-19 deaths (%),12330,1570,0.442,0.538,,,,0.014,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Montgomery County,3,1,101,1101,Distribution of population (%),12330,1570,0.319,0.595,0.002,0.033,0,0.037,0.013,Medium metro,
09/27/2023,01/01/2020,09/23/2023,AL,Morgan County,4,1,103,1103,Distribution of all-cause deaths (%),5310,478,0.861,0.116,,,,0.02,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Morgan County,4,1,103,1103,Distribution of COVID-19 deaths (%),5310,478,0.803,0.149,,,,0.044,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Morgan County,4,1,103,1103,Distribution of population (%),5310,478,0.749,0.127,0.008,0.006,0.001,0.087,0.021,Small metro,
09/27/2023,01/01/2020,09/23/2023,AL,Pike County,5,1,109,1109,Distribution of all-cause deaths (%),1142,112,0.678,0.313,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Pike County,5,1,109,1109,Distribution of COVID-19 deaths (%),1142,112,0.643,0.357,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Pike County,5,1,109,1109,Distribution of population (%),1142,112,0.557,0.378,0.006,0.018,0,0.024,0.017,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,AL,Russell County,3,1,113,1113,Distribution of all-cause deaths (%),1571,115,0.64,0.336,,,,0.015,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Russell County,3,1,113,1113,Distribution of COVID-19 deaths (%),1571,115,0.687,0.287,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Russell County,3,1,113,1113,Distribution of population (%),1571,115,0.454,0.449,0.005,0.008,0.003,0.059,0.023,Medium metro,
09/27/2023,01/01/2020,09/23/2023,AL,St. Clair County,2,1,115,1115,Distribution of all-cause deaths (%),3182,185,0.912,0.079,,,,0.004,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,St. Clair County,2,1,115,1115,Distribution of COVID-19 deaths (%),3182,185,0.924,0.059,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,St. Clair County,2,1,115,1115,Distribution of population (%),3182,185,0.849,0.097,0.003,0.009,0.001,0.025,0.015,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,AL,Shelby County,2,1,117,1117,Distribution of all-cause deaths (%),5529,343,0.869,0.109,,0.007,,0.014,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Shelby County,2,1,117,1117,Distribution of COVID-19 deaths (%),5529,343,0.81,0.143,,,,0.032,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Shelby County,2,1,117,1117,Distribution of population (%),5529,343,0.767,0.135,0.003,0.023,0,0.058,0.014,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,AL,Talladega County,5,1,121,1121,Distribution of all-cause deaths (%),3422,298,0.729,0.264,,0.003,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Talladega County,5,1,121,1121,Distribution of COVID-19 deaths (%),3422,298,0.695,0.292,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Talladega County,5,1,121,1121,Distribution of population (%),3422,298,0.621,0.329,0.003,0.006,0,0.025,0.017,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,AL,Tallapoosa County,6,1,123,1123,Distribution of all-cause deaths (%),2148,181,0.789,0.204,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Tallapoosa County,6,1,123,1123,Distribution of COVID-19 deaths (%),2148,181,0.757,0.243,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Tallapoosa County,6,1,123,1123,Distribution of population (%),2148,181,0.686,0.267,0.004,0.006,0,0.025,0.012,Noncore,
09/27/2023,01/01/2020,09/23/2023,AL,Tuscaloosa County,4,1,125,1125,Distribution of all-cause deaths (%),9112,1116,0.652,0.333,,0.004,,0.009,0.002,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Tuscaloosa County,4,1,125,1125,Distribution of COVID-19 deaths (%),9112,1116,0.6,0.378,,,,0.015,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Tuscaloosa County,4,1,125,1125,Distribution of population (%),9112,1116,0.603,0.325,0.002,0.016,0,0.04,0.013,Small metro,
09/27/2023,01/01/2020,09/23/2023,AL,Walker County,2,1,127,1127,Distribution of all-cause deaths (%),3837,374,0.943,0.051,,,,0.003,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Walker County,2,1,127,1127,Distribution of COVID-19 deaths (%),3837,374,0.941,0.051,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AL,Walker County,2,1,127,1127,Distribution of population (%),3837,374,0.886,0.06,0.004,0.005,0,0.028,0.016,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,AR,Baxter County,5,5,5,5005,Distribution of all-cause deaths (%),3656,381,0.988,,,,,0.005,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AR,Baxter County,5,5,5,5005,Distribution of COVID-19 deaths (%),3656,381,0.99,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AR,Baxter County,5,5,5,5005,Distribution of population (%),3656,381,0.943,0.005,0.007,0.005,0.001,0.026,0.014,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,AR,Benton County,3,5,7,5007,Distribution of all-cause deaths (%),8266,1098,0.919,0.008,0.009,0.007,0.008,0.045,0.004,Medium metro,
09/27/2023,01/01/2020,09/23/2023,AR,Benton County,3,5,7,5007,Distribution of COVID-19 deaths (%),8266,1098,0.856,0.009,0.009,,0.027,0.086,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AR,Benton County,3,5,7,5007,Distribution of population (%),8266,1098,0.719,0.019,0.014,0.045,0.007,0.173,0.024,Medium metro,
09/27/2023,01/01/2020,09/23/2023,AR,Boone County,5,5,9,5009,Distribution of all-cause deaths (%),1870,169,0.981,,,,,0.01,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AR,Boone County,5,5,9,5009,Distribution of COVID-19 deaths (%),1870,169,0.959,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,AR,Boone County,5,5,9,5009,Distribution of population (%),1870,169,0.935,0.005,0.008,0.006,0.001,0.027,0.018,Micropolitan,
